fecha_hora,temperatura,humedad,sonido,distancia
2025-06-14 16:57:04,80.0,66.3,52.5,146.1
2025-06-14 16:57:07,27.8,66.4,52.5,146.7
2025-06-14 16:57:09,27.8,66.4,52.5,17.1
2025-06-14 16:57:11,27.8,66.4,52.5,17.1
2025-06-14 16:57:14,27.8,66.3,52.5,15.8
2025-06-14 16:57:16,27.8,66.3,52.5,56.8
2025-06-14 16:57:19,27.8,66.3,52.5,40.0
2025-06-14 16:57:21,27.8,66.3,52.5,41.2
2025-06-14 16:57:24,27.8,66.3,52.5,39.6
2025-06-14 16:57:26,27.8,66.3,52.5,41.3
2025-06-14 16:57:29,27.8,66.4,52.5,40.2
2025-06-14 16:57:32,27.8,66.4,52.5,42.2
2025-06-14 16:57:34,27.8,66.4,52.5,40.7
2025-06-14 16:57:36,27.8,66.4,52.5,56.7
2025-06-14 16:57:39,27.8,66.4,52.5,57.7
2025-06-14 16:57:41,27.8,66.4,52.5,57.0
2025-06-14 16:57:44,27.8,66.4,52.5,43.7
